Question_ID,Answer_ID,Task
0,2,Phi-2
4,2,Phi-2
11,3,Phi-2
12,4,Phi-2
14,1,Phi-2
19,2,Phi-2
23,4,Phi-2
29,2,Phi-2
37,3,Phi-2
41,4,Phi-2
42,3,Phi-2
45,1,Phi-2
46,3,Phi-2
49,5,Phi-2
53,3,Phi-2
60,2,Phi-2
70,1,Phi-2
73,4,Phi-2
74,5,Phi-2
76,3,Phi-2
80,4,Phi-2
87,5,Phi-2
96,2,Phi-2
100,1,Phi-2
101,2,Phi-2
108,4,Phi-2
111,5,Phi-2
121,3,Phi-2
123,1,Phi-2
135,5,Phi-2
140,3,Phi-2
141,5,Phi-2
143,4,Phi-2
146,3,Phi-2
149,4,Phi-2
152,1,Phi-2
159,5,Phi-2
173,1,Phi-2
179,2,Phi-2
184,4,Phi-2
185,3,Phi-2
187,3,Phi-2
188,4,Phi-2
191,1,Phi-2
194,3,Phi-2
195,3,Phi-2
198,5,Phi-2
203,1,Phi-2
206,3,Phi-2
216,4,Phi-2
225,2,Phi-2
233,1,Phi-2
244,4,Phi-2
249,3,Phi-2
257,3,Phi-2
268,5,Phi-2
279,3,Phi-2
281,3,Phi-2
282,3,Phi-2
289,5,Phi-2
290,3,Phi-2
296,4,Phi-2
303,4,Phi-2
313,1,Phi-2
316,3,Phi-2
318,3,Phi-2
319,4,Phi-2
325,2,Phi-2
338,1,Phi-2
360,3,Phi-2
366,4,Phi-2
368,5,Phi-2
383,4,Phi-2
384,3,Phi-2
388,2,Phi-2
398,1,Phi-2
405,1,Phi-2
408,3,Phi-2
414,3,Phi-2
417,4,Phi-2
419,3,Phi-2
437,4,Phi-2
441,1,Phi-2
449,4,Phi-2
454,5,Phi-2
456,3,Phi-2
463,3,Phi-2
468,1,Phi-2
470,1,Phi-2
475,4,Phi-2
478,3,Phi-2
483,3,Phi-2
499,1,Phi-2
506,4,Phi-2
530,4,Phi-2
539,1,Phi-2
540,5,Phi-2
548,2,Phi-2
552,1,Phi-2
558,2,Phi-2
563,5,Phi-2
564,3,Phi-2
566,3,Phi-2
577,2,Phi-2
589,1,Phi-2
596,3,Phi-2
604,3,Phi-2
609,3,Phi-2
619,1,Phi-2
621,4,Phi-2
628,5,Phi-2
631,4,Phi-2
634,5,Phi-2
636,3,Phi-2
638,1,Phi-2
643,4,Phi-2
644,4,Phi-2
646,4,Phi-2
647,4,Phi-2
648,1,Phi-2
649,3,Phi-2
652,5,Phi-2
654,3,Phi-2
658,2,Phi-2
669,2,Phi-2
671,4,Phi-2
674,1,Phi-2
681,1,Phi-2
688,5,Phi-2
702,2,Phi-2
710,5,Phi-2
715,4,Phi-2
716,1,Phi-2
717,2,Phi-2
721,1,Phi-2
731,2,Phi-2
754,1,Phi-2
761,5,Phi-2
763,3,Phi-2
767,1,Phi-2
773,4,Phi-2
797,4,Phi-2
799,1,Phi-2
812,1,Phi-2
813,5,Phi-2
815,1,Phi-2
818,5,Phi-2
823,2,Phi-2
824,3,Phi-2
832,5,Phi-2
835,5,Phi-2
836,1,Phi-2
849,3,Phi-2
855,1,Phi-2
856,3,Phi-2
863,3,Phi-2
875,2,Phi-2
886,3,Phi-2
888,1,Phi-2
890,1,Phi-2
892,5,Phi-2
900,4,Phi-2
913,4,Phi-2
917,2,Phi-2
921,4,Phi-2
923,4,Phi-2
929,4,Phi-2
934,1,Phi-2
941,3,Phi-2
943,2,Phi-2
946,2,Phi-2
955,4,Phi-2
962,2,Phi-2
976,3,Phi-2
979,1,Phi-2
986,5,Phi-2
990,5,Phi-2
1005,3,Phi-2
1014,4,Phi-2
1016,5,Phi-2
1019,3,Phi-2
1025,2,Phi-2
1029,1,Phi-2
1030,3,Phi-2
1032,1,Phi-2
1036,1,Phi-2
1037,1,Phi-2
1043,2,Phi-2
1044,1,Phi-2
1054,5,Phi-2
1065,2,Phi-2
1066,4,Phi-2
1067,1,Phi-2
1078,5,Phi-2
1083,2,Phi-2
1095,5,Phi-2
1096,3,Phi-2
1099,3,Phi-2
1101,3,Phi-2
1104,3,Phi-2
1110,3,Phi-2
1112,1,Phi-2
1119,3,Phi-2
1123,2,Phi-2
1134,3,Phi-2
1143,5,Phi-2
1144,5,Phi-2
1148,1,Phi-2
1160,2,Phi-2
1161,4,Phi-2
1166,3,Phi-2
1170,2,Phi-2
1173,3,Phi-2
1174,3,Phi-2
1176,5,Phi-2
1184,3,Phi-2
1185,1,Phi-2
1189,4,Phi-2
1191,3,Phi-2
1196,5,Phi-2
1207,3,Phi-2
1210,2,Phi-2
1211,3,Phi-2
1215,3,Phi-2
1217,4,Phi-2
1226,2,Phi-2
1228,5,Phi-2
1241,5,Phi-2
1246,1,Phi-2
1248,3,Phi-2
1253,3,Phi-2
1254,4,Phi-2
1258,5,Phi-2
1264,1,Phi-2
1274,3,Phi-2
1283,2,Phi-2
1287,5,Phi-2
1288,2,Phi-2
1299,1,Phi-2
1310,1,Phi-2
1311,2,Phi-2
1312,2,Phi-2
1318,5,Phi-2
1321,3,Phi-2
1331,5,Phi-2
1343,2,Phi-2
1345,3,Phi-2
1348,2,Phi-2
1355,4,Phi-2
1358,4,Phi-2
1361,1,Phi-2
1370,4,Phi-2
1375,4,Phi-2
1379,4,Phi-2
1380,1,Phi-2
1383,2,Phi-2
1387,2,Phi-2
1389,1,Phi-2
1391,2,Phi-2
1395,4,Phi-2
1397,3,Phi-2
1399,5,Phi-2
1400,5,Phi-2
1411,3,Phi-2
1425,2,Phi-2
1426,1,Phi-2
1433,1,Phi-2
1445,5,Phi-2
1449,3,Phi-2
1458,4,Phi-2
1459,3,Phi-2
1461,2,Phi-2
1463,3,Phi-2
1473,2,Phi-2
1476,1,Phi-2
1479,4,Phi-2
1480,3,Phi-2
1495,5,Phi-2
1497,3,Phi-2
1503,1,Phi-2
1508,1,Phi-2
1512,5,Phi-2
1524,2,Phi-2
1532,3,Phi-2
1538,5,Phi-2
1542,4,Phi-2
1543,3,Phi-2
1545,3,Phi-2
1550,5,Phi-2
1562,2,Phi-2
1566,1,Phi-2
1573,4,Phi-2
1574,1,Phi-2
1580,2,Phi-2
1581,1,Phi-2
1583,1,Phi-2
1595,1,Phi-2
1599,1,Phi-2
1609,1,Phi-2
1614,4,Phi-2
1622,3,Phi-2
1640,5,Phi-2
1641,1,Phi-2
1644,2,Phi-2
1647,4,Phi-2
1651,2,Phi-2
1673,3,Phi-2
1682,2,Phi-2
1687,3,Phi-2
1690,1,Phi-2
1703,1,Phi-2
1707,1,Phi-2
1708,1,Phi-2
1711,3,Phi-2
1715,2,Phi-2
1721,3,Phi-2
1724,1,Phi-2
1728,2,Phi-2
1734,4,Phi-2
1746,1,Phi-2
1747,3,Phi-2
1750,5,Phi-2
1751,5,Phi-2
1758,2,Phi-2
1770,3,Phi-2
1780,2,Phi-2
1785,4,Phi-2
1787,3,Phi-2
1791,1,Phi-2
1805,5,Phi-2
1810,3,Phi-2
1812,5,Phi-2
1814,3,Phi-2
1820,4,Phi-2
1821,1,Phi-2
1822,3,Phi-2
1828,5,Phi-2
1841,2,Phi-2
1855,5,Phi-2
1873,3,Phi-2
1875,2,Phi-2
1877,4,Phi-2
1881,4,Phi-2
1884,5,Phi-2
1891,1,Phi-2
1894,1,Phi-2
1898,2,Phi-2
1902,3,Phi-2
1903,2,Phi-2
1918,1,Phi-2
1922,5,Phi-2
1956,1,Phi-2
1959,1,Phi-2
1961,4,Phi-2
1963,3,Phi-2
1975,4,Phi-2
1981,1,Phi-2
1985,1,Phi-2
1988,4,Phi-2
1996,2,Phi-2
2003,4,Phi-2
2007,2,Phi-2
2009,2,Phi-2
2015,2,Phi-2
2017,3,Phi-2
2023,3,Phi-2
2025,3,Phi-2
2043,1,Phi-2
2048,5,Phi-2
