Question_ID,Answer_ID,Task
1030,3,Phi-2
3918,1,Phi-2
6360,2,Phi-2
6354,3,Phi-2
8085,4,Phi-2
6909,4,Phi-2
194,3,Phi-2
5592,1,Phi-2
4159,2,Phi-2
3465,5,Phi-2
812,1,Phi-2
5947,2,Phi-2
3570,2,Phi-2
7804,2,Phi-2
149,4,Phi-2
6198,3,Phi-2
3349,1,Phi-2
6197,1,Phi-2
2788,4,Phi-2
8074,2,Phi-2
8110,3,Phi-2
3628,5,Phi-2
7094,3,Phi-2
1508,2,Phi-2
319,4,Phi-2
6912,2,Phi-2
318,3,Phi-2
5477,4,Phi-2
4958,2,Phi-2
4440,4,Phi-2
2652,1,Phi-2
4401,4,Phi-2
2898,5,Phi-2
6706,1,Phi-2
7148,3,Phi-2
4064,2,Phi-2
3572,3,Phi-2
2414,1,Phi-2
6175,1,Phi-2
2493,1,Phi-2
6839,4,Phi-2
1956,1,Phi-2
3483,2,Phi-2
2908,1,Phi-2
1595,1,Phi-2
5625,5,Phi-2
6956,1,Phi-2
60,2,Phi-2
2152,1,Phi-2
5493,3,Phi-2
4924,4,Phi-2
6877,5,Phi-2
2509,4,Phi-2
3316,4,Phi-2
4643,3,Phi-2
5614,4,Phi-2
2443,5,Phi-2
6099,5,Phi-2
5582,4,Phi-2
1361,2,Phi-2
7654,5,Phi-2
4579,1,Phi-2
2767,2,Phi-2
1538,5,Phi-2
4576,4,Phi-2
3234,1,Phi-2
8077,3,Phi-2
1566,3,Phi-2
6587,5,Phi-2
4013,5,Phi-2
1459,2,Phi-2
6061,5,Phi-2
1166,3,Phi-2
7542,3,Phi-2
7378,1,Phi-2
7310,1,Phi-2
5606,2,Phi-2
4011,4,Phi-2
191,1,Phi-2
1400,5,Phi-2
23,4,Phi-2
4959,1,Phi-2
3122,2,Phi-2
6490,5,Phi-2
4248,4,Phi-2
325,2,Phi-2
123,1,Phi-2
2859,2,Phi-2
7090,3,Phi-2
7012,2,Phi-2
7534,4,Phi-2
3519,1,Phi-2
5145,4,Phi-2
3742,3,Phi-2
1299,1,Phi-2
2480,5,Phi-2
366,4,Phi-2
7827,3,Phi-2
6116,1,Phi-2
3015,1,Phi-2
